       wId wName                                          wCap        sId        nId
         1 Supplier#000000001____EGYPT                    3066          1          4
         2 Supplier#000000001____ROMANIA                  3066          1         19
         3 Supplier#000000001____MOROCCO                  3066          1         15
         4 Supplier#000000002____VIETNAM                  2814          2         21
         5 Supplier#000000002____SAUDI ARABIA             2814          2         20
         6 Supplier#000000002____INDONESIA                2814          2          9
         7 Supplier#000000003____ALGERIA                  3009          3          0
         8 Supplier#000000003____JAPAN                    3009          3         12
         9 Supplier#000000003____IRAN                     3009          3         10
        10 Supplier#000000004____CANADA                   3369          4          3
        11 Supplier#000000004____IRAN                     3369          4         10
        12 Supplier#000000004____UNITED KINGDOM           3369          4         23
        13 Supplier#000000005____CANADA                   2595          5          3
        14 Supplier#000000005____EGYPT                    2595          5          4
        15 Supplier#000000005____INDIA                    2595          5          8
        16 Supplier#000000006____IRAN                     2598          6         10
        17 Supplier#000000006____CANADA                   2598          6          3
        18 Supplier#000000006____INDIA                    2598          6          8
        19 Supplier#000000007____CANADA                   2841          7          3
        20 Supplier#000000007____ROMANIA                  2841          7         19
        21 Supplier#000000007____RUSSIA                   2841          7         22
        22 Supplier#000000008____CANADA                   3132          8          3
        23 Supplier#000000008____EGYPT                    3132          8          4
        24 Supplier#000000008____GERMANY                  3132          8          7
        25 Supplier#000000009____EGYPT                    2691          9          4
        26 Supplier#000000009____IRAQ                     2691          9         11
        27 Supplier#000000009____CANADA                   2691          9          3
        28 Supplier#000000010____GERMANY                  2892         10          7
        29 Supplier#000000010____CANADA                   2892         10          3
        30 Supplier#000000010____KENYA                    2892         10         14
        31 Supplier#000000011____EGYPT                    2760         11          4
        32 Supplier#000000011____ROMANIA                  2760         11         19
        33 Supplier#000000011____ALGERIA                  2760         11          0
        34 Supplier#000000012____SAUDI ARABIA             2427         12         20
        35 Supplier#000000012____INDONESIA                2427         12          9
        36 Supplier#000000012____JAPAN                    2427         12         12
        37 Supplier#000000013____EGYPT                    2808         13          4
        38 Supplier#000000013____MOZAMBIQUE               2808         13         16
        39 Supplier#000000013____ALGERIA                  2808         13          0
        40 Supplier#000000014____CANADA                   3195         14          3
        41 Supplier#000000014____EGYPT                    3195         14          4
        42 Supplier#000000014____BRAZIL                   3195         14          2
        43 Supplier#000000015____SAUDI ARABIA             3384         15         20
        44 Supplier#000000015____EGYPT                    3384         15          4
        45 Supplier#000000015____IRAN                     3384         15         10
        46 Supplier#000000016____SAUDI ARABIA             2958         16         20
        47 Supplier#000000016____CANADA                   2958         16          3
        48 Supplier#000000016____ALGERIA                  2958         16          0
        49 Supplier#000000017____INDONESIA                2610         17          9
        50 Supplier#000000017____ROMANIA                  2610         17         19
        51 Supplier#000000017____CANADA                   2610         17          3
        52 Supplier#000000018____ROMANIA                  3069         18         19
        53 Supplier#000000018____CANADA                   3069         18          3
        54 Supplier#000000018____MOROCCO                  3069         18         15
        55 Supplier#000000019____ROMANIA                  3654         19         19
        56 Supplier#000000019____EGYPT                    3654         19          4
        57 Supplier#000000019____INDONESIA                3654         19          9
        58 Supplier#000000020____BRAZIL                   2862         20          2
        59 Supplier#000000020____UNITED STATES            2862         20         24
        60 Supplier#000000020____ALGERIA                  2862         20          0
        61 Supplier#000000021____CANADA                   2886         21          3
        62 Supplier#000000021____BRAZIL                   2886         21          2
        63 Supplier#000000021____MOZAMBIQUE               2886         21         16
        64 Supplier#000000022____KENYA                    3261         22         14
        65 Supplier#000000022____VIETNAM                  3261         22         21
        66 Supplier#000000022____ALGERIA                  3261         22          0
        67 Supplier#000000023____EGYPT                    2589         23          4
        68 Supplier#000000023____IRAN                     2589         23         10
        69 Supplier#000000023____SAUDI ARABIA             2589         23         20
        70 Supplier#000000024____INDONESIA                2682         24          9
        71 Supplier#000000024____ALGERIA                  2682         24          0
        72 Supplier#000000024____IRAN                     2682         24         10
        73 Supplier#000000025____BRAZIL                   2823         25          2
        74 Supplier#000000025____ALGERIA                  2823         25          0
        75 Supplier#000000025____EGYPT                    2823         25          4
        76 Supplier#000000026____EGYPT                    2652         26          4
        77 Supplier#000000026____VIETNAM                  2652         26         21
        78 Supplier#000000026____ETHIOPIA                 2652         26          5
        79 Supplier#000000027____EGYPT                    2796         27          4
        80 Supplier#000000027____IRAN                     2796         27         10
        81 Supplier#000000027____ETHIOPIA                 2796         27          5
        82 Supplier#000000028____MOZAMBIQUE               3411         28         16
        83 Supplier#000000028____INDONESIA                3411         28          9
        84 Supplier#000000028____IRAN                     3411         28         10
        85 Supplier#000000029____JAPAN                    2307         29         12
        86 Supplier#000000029____INDONESIA                2307         29          9
        87 Supplier#000000029____BRAZIL                   2307         29          2
        88 Supplier#000000030____CANADA                   3162         30          3
        89 Supplier#000000030____IRAN                     3162         30         10
        90 Supplier#000000030____ROMANIA                  3162         30         19
        91 Supplier#000000031____ALGERIA                  2400         31          0
        92 Supplier#000000031____IRAN                     2400         31         10
        93 Supplier#000000031____JAPAN                    2400         31         12
        94 Supplier#000000032____CANADA                   2913         32          3
        95 Supplier#000000032____INDIA                    2913         32          8
        96 Supplier#000000032____SAUDI ARABIA             2913         32         20
        97 Supplier#000000033____EGYPT                    2367         33          4
        98 Supplier#000000033____JAPAN                    2367         33         12
        99 Supplier#000000033____CANADA                   2367         33          3
       100 Supplier#000000034____ALGERIA                  2547         34          0
       101 Supplier#000000034____MOZAMBIQUE               2547         34         16
       102 Supplier#000000034____BRAZIL                   2547         34          2
       103 Supplier#000000035____ROMANIA                  2898         35         19
       104 Supplier#000000035____BRAZIL                   2898         35          2
       105 Supplier#000000035____MOZAMBIQUE               2898         35         16
       106 Supplier#000000036____ALGERIA                  2256         36          0
       107 Supplier#000000036____BRAZIL                   2256         36          2
       108 Supplier#000000036____MOZAMBIQUE               2256         36         16
       109 Supplier#000000037____BRAZIL                   3069         37          2
       110 Supplier#000000037____CANADA                   3069         37          3
       111 Supplier#000000037____IRAN                     3069         37         10
       112 Supplier#000000038____JAPAN                    3300         38         12
       113 Supplier#000000038____ROMANIA                  3300         38         19
       114 Supplier#000000038____BRAZIL                   3300         38          2
       115 Supplier#000000039____SAUDI ARABIA             2967         39         20
       116 Supplier#000000039____CANADA                   2967         39          3
       117 Supplier#000000039____IRAQ                     2967         39         11
       118 Supplier#000000040____BRAZIL                   2883         40          2
       119 Supplier#000000040____INDONESIA                2883         40          9
       120 Supplier#000000040____EGYPT                    2883         40          4
       121 Supplier#000000041____CANADA                   3132         41          3
       122 Supplier#000000041____ALGERIA                  3132         41          0
       123 Supplier#000000041____MOZAMBIQUE               3132         41         16
       124 Supplier#000000042____EGYPT                    2655         42          4
       125 Supplier#000000042____UNITED KINGDOM           2655         42         23
       126 Supplier#000000042____BRAZIL                   2655         42          2
       127 Supplier#000000043____CANADA                   2988         43          3
       128 Supplier#000000043____BRAZIL                   2988         43          2
       129 Supplier#000000043____ROMANIA                  2988         43         19
       130 Supplier#000000044____MOZAMBIQUE               3135         44         16
       131 Supplier#000000044____BRAZIL                   3135         44          2
       132 Supplier#000000044____UNITED KINGDOM           3135         44         23
       133 Supplier#000000045____CANADA                   2898         45          3
       134 Supplier#000000045____IRAN                     2898         45         10
       135 Supplier#000000045____INDIA                    2898         45          8
       136 Supplier#000000046____MOZAMBIQUE               3501         46         16
       137 Supplier#000000046____CANADA                   3501         46          3
       138 Supplier#000000046____JAPAN                    3501         46         12
       139 Supplier#000000047____SAUDI ARABIA             2622         47         20
       140 Supplier#000000047____INDONESIA                2622         47          9
       141 Supplier#000000047____ALGERIA                  2622         47          0
       142 Supplier#000000048____IRAN                     3408         48         10
       143 Supplier#000000048____JAPAN                    3408         48         12
       144 Supplier#000000048____BRAZIL                   3408         48          2
       145 Supplier#000000049____CANADA                   3030         49          3
       146 Supplier#000000049____UNITED KINGDOM           3030         49         23
       147 Supplier#000000049____EGYPT                    3030         49          4
       148 Supplier#000000050____SAUDI ARABIA             3105         50         20
