warehouse                                  capacity
Supplier#000000099____MOROCCO                  3681
Supplier#000000046____MOZAMBIQUE               3501
Supplier#000000066____ALGERIA                  3495
Supplier#000000028____MOZAMBIQUE               3411
Supplier#000000071____ALGERIA                  3267
Supplier#000000022____KENYA                    3261
Supplier#000000022____ALGERIA                  3261
Supplier#000000077____KENYA                    3201
Supplier#000000068____ETHIOPIA                 3162
Supplier#000000044____MOZAMBIQUE               3135
Supplier#000000041____MOZAMBIQUE               3132
Supplier#000000041____ALGERIA                  3132
Supplier#000000056____MOROCCO                  3114
Supplier#000000096____MOROCCO                  3081
Supplier#000000096____ALGERIA                  3081
Supplier#000000018____MOROCCO                  3069
Supplier#000000001____MOROCCO                  3066
Supplier#000000082____MOZAMBIQUE               3012
Supplier#000000059____ALGERIA                  3012
Supplier#000000003____ALGERIA                  3009
Supplier#000000084____MOROCCO                  2970
Supplier#000000084____ALGERIA                  2970
Supplier#000000016____ALGERIA                  2958
Supplier#000000078____ETHIOPIA                 2946
Supplier#000000089____MOZAMBIQUE               2904
Supplier#000000089____ALGERIA                  2904
Supplier#000000035____MOZAMBIQUE               2898
Supplier#000000061____MOZAMBIQUE               2895
Supplier#000000010____KENYA                    2892
Supplier#000000086____MOROCCO                  2889
Supplier#000000021____MOZAMBIQUE               2886
Supplier#000000020____ALGERIA                  2862
Supplier#000000054____ALGERIA                  2838
Supplier#000000025____ALGERIA                  2823
Supplier#000000098____ALGERIA                  2808
Supplier#000000013____MOZAMBIQUE               2808
Supplier#000000013____ALGERIA                  2808
Supplier#000000027____ETHIOPIA                 2796
Supplier#000000090____MOROCCO                  2787
Supplier#000000063____MOZAMBIQUE               2778
Supplier#000000011____ALGERIA                  2760
Supplier#000000024____ALGERIA                  2682
Supplier#000000081____ALGERIA                  2664
Supplier#000000069____ETHIOPIA                 2655
Supplier#000000026____ETHIOPIA                 2652
Supplier#000000088____ALGERIA                  2628
Supplier#000000047____ALGERIA                  2622
Supplier#000000058____ALGERIA                  2619
Supplier#000000034____MOZAMBIQUE               2547
Supplier#000000034____ALGERIA                  2547
Supplier#000000091____KENYA                    2544
Supplier#000000091____ALGERIA                  2544
Supplier#000000092____ETHIOPIA                 2541
Supplier#000000092____ALGERIA                  2541
Supplier#000000057____ALGERIA                  2538
Supplier#000000093____MOROCCO                  2520
Supplier#000000067____MOROCCO                  2520
Supplier#000000031____ALGERIA                  2400
Supplier#000000036____MOZAMBIQUE               2256
Supplier#000000036____ALGERIA                  2256
